year,val,network,show
2002,4.5,WB,Smallville
2003,4,WB,7th Heaven
2004,4.2,WB,7th Heaven
2005,3.3,WB,Gilmore Girls
2006,,WB,
2007,,WB,
2008,,WB,
2009,,WB,
2010,,WB,
2011,,WB,
2012,,WB,
2002,4.2,UPN,Buffy the The Vampire Slayer
2003,3.4,UPN,All Of Us
2004,3.2,UPN,Kevin Hill
2005,4.1,UPN,America's Next Top Model
2006,,UPN,
2007,,UPN,
2008,,UPN,
2009,,UPN,
2010,,UPN,
2011,,UPN,
2012,,UPN,
2002,,PBS,no data
2003,,PBS,no data
2004,,PBS,no data
2005,,PBS,no data
2006,,PBS,no data
2007,,PBS,no data
2008,,PBS,no data
2009,,PBS,no data
2010,0,PBS,no data
2011,1.5,PBS,American Masters
2012,1.7,PBS,Need to Know
2002,13.4,NBC,Friends
2003,12.6,NBC,Friends
2004,10.6,NBC,E.R.
2005,9.9,NBC,Law & Order:SVU 
2006,11,NBC,Deal or No Deal
2007,9.9,NBC,Heroes
2008,8.3,NBC,Heroes
2009,7.6,NBC,The Biggest Loser
2010,8.2,NBC,The Event
2011,7.5,NBC,Go On
2012,8.2,NBC,The Voice
2002,,MyNetworkTV,
2003,,MyNetworkTV,
2004,,MyNetworkTV,
2005,,MyNetworkTV,no data
2006,,MyNetworkTV,Desire
2007,,MyNetworkTV,Academy
2008,,MyNetworkTV,Celebrity Exposé
2009,,MyNetworkTV,no data
2010,,MyNetworkTV,no data
2011,,MyNetworkTV,no data
2012,,MyNetworkTV,no data
2002,1.2,ION,Diagnosis Murder
2003,0.8,ION,America's Funniest Home Videos
2004,0.6,ION,America's Most Talented Kids
2005,0.6,ION,Palmetto Pointe
2006,0.6,ION,Charlie's Angels
2007,0.5,ION,48 Hours
2008,0.4,ION,48 Hours
2009,0.6,ION,Criminal Minds
2010,1,ION,no data
2011,1,ION,no data
2012,0.9,ION,no data
2002,7.1,Fox,That '70s Show
2003,6,Fox,24
2004,5.4,Fox,That '70s Show
2005,6.5,Fox,House
2006,7.5,Fox,House
2007,6.9,Fox,House
2008,7.7,Fox,House
2009,7.4,Fox,House
2010,6.5,Fox,Glee
2011,8.4,Fox,The X Factor
2012,7.2,Fox,The X Factor
2002,,CW,
2003,,CW,
2004,,CW,
2005,0,CW,no data
2006,2.8,CW,America's Next Top Model
2007,2.8,CW,Smallville
2008,2.9,CW,90210
2009,2.2,CW,The Vampire Diaries
2010,2.5,CW,Nikita
2011,1.6,CW,The Vampire Diaries
2012,0.7,CW,Arrow
2002,14,CBS,CSI
2003,13.9,CBS,CSI
2004,13.6,CBS,CSI
2005,12.8,CBS,CSI
2006,13,CBS,CSI
2007,11.7,CBS,CSI
2008,11.3,CBS,CSI
2009,11.8,CBS,NCIS
2010,12.5,CBS,NCIS
2011,12.3,CBS,Two and a Half Men
2012,10.7,CBS,NCIS
2002,9.9,ABC,My Wife and Kids
2003,10.6,ABC,My Wife and Kids
2004,10,ABC,Desperate Housewives
2005,12.2,ABC,Desperate Housewives
2006,12.3,ABC,Grey's Anatomy
2007,11.9,ABC,Grey's Anatomy
2008,12.3,ABC,Dancing with the Stars
2009,11.1,ABC,Dancing with the Stars
2010,9.6,ABC,Dancing with the Stars
2011,9.9,ABC,Dancing with the Stars
2012,8.3,ABC,Modern Family
