date	CSCO US Equity	AAPL US Equity	GE US Equity	INTC US Equity	MSFT US Equity	XOM US Equity	WMT US Equity	ORCL US Equity	C US Equity	IBM US Equity	PFE US Equity	MRK US Equity	AIG US Equity	JNJ US Equity	BAC US Equity	PG US Equity	JPM US Equity	T US Equity	CVX US Equity	BRK/A US Equity	GOOG US Equity	MO US Equity	CSCO US Equity	AAPL US Equity	KO US Equity	WFC US Equity	AMZN US Equity	FB US Equity
19900331		4961617408	57424785408	8164337664	6217837568	57584246784	24131504128	2916402176		60883271680		27232464896	15226703872	18901835776		23437299712			23928750080	7706850304		36620038144		4961617408	24950390784			no data
19900630	279938752	5355143168	61536727040	9224690688	8641123328	59703427072	28098914304	2589975552		67309756416	10007550976	33897822208	15783719936			30170865664			24877561856	8251200000		42984972288	279938752	5355143168	29618714624			no data
19900930	344689504	3345411072	47822168064	6636932608	7163099648	61063069696	35535732736	1530547584		60745760768	11667673088	29573726208	13322953728	21066866688		25259640832			26144198656	6732750336		41861046272	344689504	3345411072	26371315712			no data
19901231	396836000	4915502080	50095259648	7561781760	8631175168	64428748800	30414571520	1052793024		64567181312	13333601280	34780815360	16308493312	23648395264		30039992320			25476849664	7649550336		47931834368	396836000	4915502080	31073122304			no data
19910331	741266240	8089008128	60615663616	9415029760	12299887616	72817639424	37695303680	1235870976		65208242176	17677041664	40798326784	20453955584	31933661184		29340628992			27011598336	9196650496		63054020608	741266240	8089008128	36180602880			no data
19910630	849150464	4875834880	64396353536	9423178752	11869690880	72298086400	46474883072	1022227456		55568904192	18350409728	44893462528	17885853696	27811844096		26159636480			24666437632	9626399744		58820812800	849150464	4875834880	36319907840			no data
19910930	1044508352	5800913920	60119818240	8606874624	15583900672	74100826112	54694121472	1539832448		59232985088	21279776768	50296434688	17517885440	29477668864		28713891840			25710299136	10170749952		66603110400	1044508352	5800913920	42901323776			no data
19911231	1254626944	6516950016	66105331712	9686342656	19724625920	75606753280	53122473984	1867292928		50820603904	27690348544	64353751040	20885012480	37897629696		31780347904			23922300928	10371300352		73818046464	1254626944	6516950016	53324562432			no data
19920331	2171826176	7330003968	65000394752	11403544576	21282600960	67967852544	61903880192	2779739904		47655534592	22516367360	56786423808	18388832256	32047208448		34677067776			21843200000	10256700416		69356322816	2171826176	7330003968	53960556544			no data
19920630	2173611520	5395662848	66422525952	11436362752	19049730048	76817809408	60045959168	2080967936		55898075136	24491806720	56272515072	18741706752	29328613376		31224524800			22842718208	10571850752		66487730176	2173611520	5395662848	52591747072			no data
19920930	3110744320	5390786560	66828550144	13477971968	22057000960	79300812800	64221102080	2456422656		46074494976	24560637952	51201122304	22425677824	31217760256		33546018816			25269628928	10772400128		76111855616	3110744320	5390786560	53144895488			no data
19921231	3550482176	6952619008	73139183616	18836281344	23819624448	75917246464	69960040448	3159967232		28786087936	23572707328	49651142656	24548964352			36501303296			22599593984	13500750848		68853882880	3550482176	6952619008	54721044480			no data
19930331	5640905728	6208684032	76093497344	24046024704	25992499200	82127249408	74881867776	4680105984		28989696000	19822827520	40345645056	27043141632	33097498624		33978439680			27038900224	14700749824		56076222464	5640905728	6208684032	55628607488			no data
19930630	5211870720	4624546816	81784569856	22721214464	24816001024	82127249408	61525536768	5938018816		28195346432	21276854272	40363536384	27296528384	26297724928		35451207680			28562356224	17756200960		42291654656	5211870720	4624546816	55947255808			no data
19930930	6541060608	2903675136	81775140864	28750356480	23347499008	81351000064	58311749632	7566434304		24293558272		34929475584	31154980864	26114615296		32411910144			31829942272	19226275840		40218750976	6541060608	2903675136	54884229120			no data
19931231	6244672512	3407478784	89526648832	25916000256	22897500160	78401249280	60623491072	9172166656		32848252928	22143686656	43104018432	27871856640	28853772288		38930829312			28380096512	19214526464		48788131840	6244672512	3407478784	58223202304			no data
19940331	8997843968	3928154880	85519400960		24238499840	78090747904	60917379072	9426351104		31853256704	16479989760	37370372096	26657110016			36584050688			27369887744	18759649280		44183625728	8997843968	3928154880	52594102272			no data
19940630	7794313216		79839109120	28323000320	29994125312	70450307072	58075000832	9807863808		34360762368	19836715008	37467357184	27413174272	27591477248		36527075328			27289225216	18965798912		44699529216	7794313216		52402352128			no data
19940930	5411636736	4027104768	82277392384	24349300736	32608624640	71414996992	57478246400	12214984704		40881848320	21759031296	44926898176	28090187776	33275404288		40855408640			27125762048	22323099648		52639932416	5411636736	4027104768	62616694784			no data
19941231	7836959744	4645737472	87004315648	26380374016	35513626624	75451498496	53631373312	11816929280		43196760064	24273958912	47573405696	30952417280	35204796416		42533056512			29084387328	24010799104		49039392768	7836959744	4645737472	65710546944			no data
