date	AAPL US Equity	FB US Equity	IBM US Equity	C US Equity	ORCL US Equity	KO US Equity	T US Equity	BAC US Equity	AMZN US Equity	JPM US Equity	PG US Equity	CVX US Equity	WMT US Equity	WFC US Equity	GE US Equity	BRK/A US Equity	CSCO US Equity	MSFT US Equity	GOOG US Equity	XOM US Equity	Merck & co 
19900331	4961617408		60883271680		2916402176	24950390784					23437299712	23928750080	24131504128		57424785408			6217837568		57584246784	27232464896
19900630	5355143168		67309756416		2589975552	29618714624					30170865664	24877561856	28098914304		61536727040	7706850304	279938752	8641123328		59703427072	33897822208
19900930	3345411072		60745760768		1530547584	26371315712					25259640832	26144198656	35535732736		47822168064	8251200000	344689504	7163099648		61063069696	29573726208
19901231	4915502080		64567181312		1052793024	31073122304					30039992320	25476849664	30414571520		50095259648	6732750336	396836000	8631175168		64428748800	34780815360
19910331	8089008128		65208242176		1235870976	36180602880					29340628992	27011598336	37695303680		60615663616	7649550336	741266240	12299887616		72817639424	40798326784
19910630	4875834880		55568904192		1022227456	36319907840					26159636480	24666437632	46474883072		64396353536	9196650496	849150464	11869690880		72298086400	44893462528
19910930	5800913920		59232985088		1539832448	42901323776					28713891840	25710299136	54694121472		60119818240	9626399744	1044508352	15583900672		74100826112	50296434688
19911231	6516950016		50820603904		1867292928	53324562432					31780347904	23922300928	53122473984		66105331712	10170749952	1254626944	19724625920		75606753280	64353751040
19920331	7330003968		47655534592		2779739904	53960556544					34677067776	21843200000	61903880192		65000394752	10371300352	2171826176	21282600960		67967852544	56786423808
19920630	5395662848		55898075136		2080967936	52591747072					31224524800	22842718208	60045959168		66422525952	10256700416	2173611520	19049730048		76817809408	56272515072
19920930	5390786560		46074494976		2456422656	53144895488					33546018816	25269628928	64221102080		66828550144	10571850752	3110744320	22057000960		79300812800	51201122304
19921231	6952619008		28786087936		3159967232	54721044480					36501303296	22599593984	69960040448		73139183616	10772400128	3550482176	23819624448		75917246464	49651142656
19930331	6208684032		28989696000		4680105984	55628607488					33978439680	27038900224	74881867776		76093497344	13500750848	5640905728	25992499200		82127249408	40345645056
19930630	4624546816		28195346432		5938018816	55947255808					35451207680	28562356224	61525536768		81784569856	14700749824	5211870720	24816001024		82127249408	40363536384
19930930	2903675136		24293558272		7566434304	54884229120					32411910144	31829942272	58311749632		81775140864	17756200960	6541060608	23347499008		81351000064	34929475584
19931231	3407478784		32848252928		9172166656	58223202304					38930829312	28380096512	60623491072		89526648832	19226275840	6244672512	22897500160		78401249280	43104018432
19940331	3928154880		31853256704		9426351104	52594102272					36584050688	27369887744	60917379072		85519400960	19214526464	8997843968	24238499840		78090747904	37370372096
19940630	3928154880		34360762368		9807863808	52402352128					36527075328	27289225216	58075000832		79839109120	18759649280	7794313216	29994125312		70450307072	37467357184
19940930	4027104768		40881848320		12214984704	62616694784					40855408640	27125762048	57478246400		82277392384	18965798912	5411636736	32608624640		71414996992	44926898176
19941231	4645737472		43196760064		11816929280	65710546944					42533056512	29084387328	53631373312		87004315648	22323099648	7836959744	35513626624		75451498496	47573405696
19950331	4268528384		47687032832		13584154624	71529504768					45528457216	31294945280	52543873024		91469414400	24010799104	9115525120	41536999424		82748252160	52784242688
19950630	5660963328		54597410816		15059155968	80456130560					49347506176	30238957568	54561943552		94846820352	26659051520	10779248640	53140500480		87716249600	60735008768
19950930	4578844160		52760768512		17438887936	87297835008					52868198400	31796408320	61131001856		1.0648E+11	27975849984	14258768896	53395001344		89711230976	68985896960
19951231	3924386048		50052849664		19751917568	92983197696					56940240896	34182021120	49619533824		1.19989E+11	35074199552	21107376128	51772502016		99991543808	80643153920
